content,title,region,desc,category
"What happened to Rod Stewart the songwriter?The last original song the man behind global smash Maggie May released was the title track of 1998 album When We Were the New Boys. It was the only original on an album full of tracks written by other artists.Since then, Stewart has concentrated on album after album of his Great American Songbook series and other cover collections.""You could say we're addicted to it, really,"" he says in trademark raspy voice, made hoarser by a bout of flu.""You could go on, I could record another five - we'd never run out of songs.""All of those cover albums to date - beginning with 2002's first Great American Songbook - have gone platinum in the UK and the US.Stewart's fifth and final instalment of his lushly-orchestrated series features ""good cocktail hour, dinner party music"" including I Get A Kick Out Of You, I've Got You Under My Skin and Beyond The Sea.Diehard Rod fans will lap it up. But don't they also deserve to know why the 65-year-old - who wrote such hits as You Wear It Well, Hot Legs, Baby Jane and Every Beat Of My Heart - has dried up when it comes to penning his own hits?Stewart fires back a series of explanations.""There's many reasons, I don't feel the desire at the moment - I haven't met somebody I feel I can write with. ""It's difficult to get the new material played with us old-timers, it really is. ""I think we've had a fair crack of the whip, so we can't complain. ""I wanna do a blues album, I wanna do a country album, so maybe after all that's done I can get someone to write with.""His most famed composition, 1971's Maggie May, propelled him to worldwide fame.Although it was co-written with guitarist Martin Quittenton, Stewart says his memories of creating it begin with Ronnie Wood strumming Bob Dylan's 1965 song It's All Over Now, Baby Blue.Wood, latterly a Rolling Stone, was Stewart's bandmate in The Faces.""I think the first two chords may be similar, the melody's not,"" Stewart says.""We did it at Lansdowne Studios in London and it was one of those where we went round the pub first and then saw what we got.""That's humble beginnings for a song which was originally the B-side to Reason to Believe before it was reclassified as the A-side thanks to public reaction. It went on to top the UK and US charts for five weeks each.""When it went to number one in Britain and America, that's when we all went out and got drunk,"" Stewart says.""The drinking went on for a long time and why not?""He says he remembers visiting his parents shortly afterwards: ""That was probably the most gratifying, more than any big cheque or new car or whatever, to know that not just my mum and dad but my whole family had stood by me.""They weren't the type to say 'get yourself a day job, it's not going to last', which is not what you want to hear when you're a musician.""But will the former mod, who is due to become a father for the eighth time next year, ever again celebrate a self-written hit?It's only when asked if he ever writes that things become clear.""No, never. It's always been hard work.""The nearest thing that this business I'm in comes to being a job is when I've had to write songs.""This is not an ageing rocker with a chronic case of writers' block. This is an ageing rocker who hates writing songs.Stewart adds by way of a further admission: ""Speak to anyone in The Faces, they'll say 'We had to lock him in a room and take the key away to get him to finish the lyrics to a song'.""So it was always like being at school.""He continues: ""When you think of the minimal amount of songs that I've written and how many of them have been successful, you could say I've got an impressive strike rate.""And while he hasn't completely ruled out a return to songwriting - ""I wouldn't say that it'll never happen, it could happen"" - don't hold your breath.His coming out as a successful songwriter who detests writing songs marks him out as unusual.But his success in recording long-established songs speaks for itself.In the US, his last six albums have yielded two number ones, two number twos and two number fours.And in album sales by British artists in America in the 2000s, he was outsold only by The Beatles and Coldplay.Perhaps the real question is why would Rod Stewart bother to write another song?Fly Me to the Moon...The Great American Songbook Volume V is out in the UK on Monday.",What happened to Rod Stewart the songwriter?,Entertainment & Arts,Rod Stewart has enjoyed huge transatlantic success with his Great American Songbook cover albums. But why did he stop writing songs?,BBC News
"Artefacts from the ancestral home of Diana, Princess of Wales, are expected to raise £20m when they are sold at auction over the next three days.Among the items to be auctioned from Althorp House in Northamptonshire is a painting by baroque artist Sir Peter Paul Rubens.The work, A Commander being Armed for Battle, was painted in about 1613-14 and could fetch up to £12m.Althorp, the home of Earl Spencer, is undergoing a £10m restoration project.The auction of artwork, English and French furniture and porcelain from the Spencer collection and treasures from Althorp's attics will fund reinvestment in Althorp and its estate.The auctions are taking place at Christie's London sales rooms.",Artefacts from Earl Spencer's Althorp estate auctioned,Northampton,"A three-day auction of artefacts from the Northamptonshire ancestral home of Diana, Princess of Wales, gets under way.",BBC News
"A priest in Canada has apologised after giving Holy Communion to a dog.Reverend Marguerite Rea of St Peter's Anglican Church, in Toronto, received complaints from Christians all over Canada after she fed communion bread to a German Shepherd cross named Trapper.Area Bishop Patrick Yu said the priest had contravened church policy with her ""strange and shocking"" actions.Ms Rea said it had been a ""simple church act of reaching out"" to a new congregation member and his pet.""If I have hurt, upset or embarrassed anyone, I apologise,"" she told her congregation on Sunday morning, the Toronto Star reports.The canine controversy began last month when four-year-old Trapper and his owner, Donald Keith, 56, attended the church in Toronto's downtown area for the first time.""The minister welcomed me and said come up and take communion, and Trapper came up with me and the minister gave him communion as well,"" Mr Keith told the Toronto Star.""I thought it was a nice way to welcome me into the church. I thought it was acceptable. There was an old lady in the front just beaming when she saw this.""But not all parishioners at the service were quite so charmed by the sight of the priest leaning down and placing a wafer on the wagging tongue of Trapper, a German Shepherd-Rhodesian ridgeback cross.Communion bread is considered by Anglicans to represent the body of Jesus Christ.One onlooker filed a complaint with the Anglican Diocese of Toronto about the incident and has since left the church.When news spread of the canine communion, St Peter's Church began receiving e-mails from angry Christians all over the country.""Communion is a symbol of the sacrifice of Jesus' body; he died for all of us. But I don't recall anything from the scripture about Jesus dying for the salvation of our pets,"" said Cheryl Chang, director of the Anglican Network in Canada, the National Post newspaper reports.""I can see why people would be offended,"" said Bishop Yu.""I have never heard of it happening before. I think the reverend was overcome by what I consider a misguided gesture of welcoming.""Mr Keith has since been told that he and his dog are most welcome at the church, but Trapper can no longer receive communion.""This has blown me away. The church is even getting e-mails from Catholics,"" said the truck driver.""Ninety-nine-point-nine per cent of the people in the church love Trapper and the kids play with him. It was just one person who got his nose out of joint.""Holy smokes. We are living in the downtown core. This is small stuff. I thought it was innocent and it made me think of the Blessing of the Animals.""",Canadian priest sorry for giving dog Holy Communion,US & Canada,"A priest in Canada has apologised after giving Holy Communion bread to a dog, as an act of welcome to its owner.",BBC News
"The future running of a Hovis Bakery distribution depot in Inverness is being reviewed by parent company Premier Foods.The site at the Longman Industrial Estate employs 38 people.For sale signs have been placed on the building, but management said no decision has been taken to close the depot.Premier Foods said it was looking at various options to achieve savings and increase efficiency.Options include whether another operator might be able to use more of the available capacity at the site.Premier Foods said it intended to retain its presence in the region.",Hovis Bakery distribution depot's future under review,Highlands & Islands,The future running of a Hovis Bakery distribution depot in Inverness is being reviewed by parent company Premier Foods.,BBC News
"A woman died when her car went into a ditch and overturned in Suffolk.Heidi Smith, from Flixton near Bungay, was driving a red Skoda along the village's Abbey Road on Wednesday, police said.The crash happened about a mile south of the Church Road junction at 2215 BST. Suffolk Police said the 35-year-old was pronounced dead at the scene. Anyone who saw the crash or the car should contact officers. ",Woman killed when car crashes into ditch in Suffolk,Suffolk,A 35-year-old woman dies when her car goes into a ditch and overturns in Suffolk.,BBC News
"Plans for the replacement of two bridges destroyed by floods in Cumbria are to be put before the public.Cumbria County Council has submitted a proposal for a pedestrian crossing at the site of Navvies Bridge which was damaged beyond repair last November.A temporary replacement for Northside Bridge, which collapsed, opened in April and the council is considering a permanent option.Public information sessions are being held on Tuesday and Wednesday.They are taking place in the former Select shop on Washington Square in the town.The bow-arched design for Navvies Bridge is the result of consultation with residents and local stakeholders at two ""Workington Connected"" events in May.Councillor Tony Markley, cabinet member for highways and economic development, said: ""The proposal really is for a structure that will show how the town and its people have recovered from the floods.""",New Workington bridges plan put to public,Cumbria,Plans for the replacement of two bridges destroyed by floods in Cumbria are put before the public.,BBC News
"A Cheshire music student was ordered to buy an extra seat for her violin after an airline refused to let her take the instrument as hand luggage.Francesca Rijks, 12, from Macclesfield, was flying home with her family from Dusseldorf after a holiday in Germany.Staff told them to put the violin in the hold - which would potentially ruin the instrument.Francesca and her family got off the plane to buy the ticket, and missed the flight.They had been advised to buy the £190 ticket after calling the airline.The family ended up flying back with Easyjet, who let them board the plane with the violin as hand luggage. Francesca's father Harmen Rijks, 49, said he was told by Ryanair customer service when he bought the tickets that the valuable violin could be taken on board the flight as hand luggage.He said the air pressure and low temperature in the hold would have ruined the instrument, which belongs to the Manchester music school Chetham's, where Francesca is a pupil.He said: ""When we checked in, Francesca was carrying the violin on her back so they must have noticed it but they let us through. ""But when we got to the gates they refused to let us go.""They said we could pay extra to put the violin in the hold, but because of the temperature and air pressure difference, the wood can crack and completely ruin a violin. The insurance also becomes void,"" he said.""This was an absolute disgrace. Their policy appears to discriminate against violinists, the vast majority of whom simply can't afford to purchase an additional seat,"" he added.The Ryanair website says small musical instruments can be taken on board their flights but customers have to purchase an extra seat if they are larger than standard baggage.A spokesman for Ryanair said: ""Ryanair's website, booking confirmation page and the e-mailed itinerary which is sent to every passenger is very clear in relation to the carriage of musical instruments and states that smaller musical items, such as a guitar, violin or viola which exceed our cabin baggage dimensions may be carried in the cabin but only if an extra seat has been purchased to accommodate the instrument.  ""This policy, which must be accepted by every passenger before a booking can be made, ensures that such instruments, which can be expensive, remain with the passenger.  ""As all Ryanair employees are aware of our baggage policies, Ryanair is confident that at no time was this passenger advised that they could bring any piece of non-conforming carry-on luggage onto our aircraft.""The Incorporated Society of Musicians (ISM) is now warning anyone intending to travel with a small instrument to check very carefully before travelling and to ensure their instruments will be accepted as hand luggage before booking any flights. David Abrahams, head of legal services at the ISM, said: ""The idea that musicians should be forced to purchase an additional seat on board an aircraft because they are carrying an instrument that can be stored safely in the overhead lockers is unfair, discriminatory and irrational. ""These airlines are punishing musicians for being musicians.""",Ryanair tells girl to buy £190 plane seat for violin,Manchester,A Cheshire music student was ordered to buy an extra seat for her violin after Ryanair refused to let her take the instrument as hand luggage.,BBC News
"Shropshire Council is due to meet later to discuss how to cut £60m from its budget over the next three years.The council will be looking at cutting staffing costs and reviewing management roles.Areas thought likely to be the hardest hit are transport, education and the house and planning delivery grant which is used to fund major planning inquiries.Keith Barrow, council leader, described the situation as ""a challenge"".The savings are to offset cuts in public spending, the council has said.",Shropshire Council meeting over £60m budget cuts,Shropshire,Shropshire Council is due to meet later to look at how to trim £60m from its budgets over the next three years.,BBC News
"A shortage of lollipop men and women outside Sheffield schools is being highlighted as the city council tries to recruit more.A quarter of school road crossings in the city are without a warden.The council urged people to come forward for the posts, saying they would suit parents who already accompany their children to school.Clive Sargeant, a former fireman who recently joined the crossing patrol team, said: ""It's very rewarding"".Mr Sargeant said: ""You need to be aware of traffic movements and very aware of children coming from all different directions.""I was in the fire service for 31 years and on that it's more reacting to bad situations, whereas in this job it's something where you can actually make a difference and prevent accidents from happening.""Shirley Adams, the council's school crossing supervisor, said it was easier to fill vacancies in more rural areas of Sheffield, where residents were more ""community minded"".She said: ""We have got priority ones [to fill], for example Wincobank School, Newman Road, is a very busy road. We can't get anybody to work on there.""Mrs Adams said she thought the job would suit parents who already take their children from school.She said: ""You tag on 20 minutes to half an hour to that and you are getting paid for taking your children to school.""The hourly rate is actually very good, it's £7.19 an hour. That's a lot more than a lot of big department stores and supermarkets etc.""",Sheffield's lollipop staff shortage revealed,Sheffield & South Yorkshire,"A quarter of school crossing patrols in Sheffield are vacant, the city council reveals as it tries to recruit more.",BBC News
"Author Ken Follett has given a £100,000 donation to Ed Balls' Labour leadership campaign, figures reveal.The Electoral Commission still has shadow foreign secretary David Miliband as the best-funded candidate overall, raising £138,835 in July.He was followed by Mr Balls on £103,000 and Ed Miliband on £46,450.Andy Burnham received £12,400, including £10,000 from the Liverpool and England footballer Jamie Carragher.No donations were recorded for the other candidate, left-wing MP Diane Abbott.The figures come ahead of ballots being sent out at the beginning of September.David Miliband's total for July is down from the £185,275 he raised in June, with notable donors including party fund-raiser Anthony Bailey, who gave £50,000 and ""curry king"" Goolam Noon, who gave £10,000.He said: ""I am very grateful for the generous support I've received since the start of the campaign. It's humbling that people are giving up both their time and their money to help me in my bid to become the next leader of the Labour Party.""Shadow energy secretary Ed Miliband's donations are up from £15,000 in June.Under Electoral Commission rules, all gifts above £1,500 must be declared.Ed Miliband's campaign also said it had raised almost £58,000 from smaller donors, with another 682 supporters giving an average of £85 each.A spokesman said: ""These figures show that the Ed Miliband campaign is gaining momentum at a crucial time in the campaign. The average size of donation shows that the rank and file members are backing Ed Miliband's message of change.""Mr Balls, the shadow education secretary, whose Electoral Commission-registered donations in June totalled £28,419, also received £3,000 from businessman Sir Trevor Chinn.Mr Follett, the writer of novels including Eye of the Needle, is the husband of former Labour MP Barbara Follett.The Electoral Commission said shadow health secretary Mr Burnham had doubled his donations from June's level and taken on a £10,000 loan from campaign manager Kevin Lee.July's figures represent the second month in a row that Ms Abbott has not recorded any gifts to her campaign.The result of the leadership contest will be announced on 25 September at the Labour Party conference.","Author Ken Follett gives £100,000 to Balls campaign",UK Politics,"Labour contender Ed Balls receives £100,000 from author Ken Follett, but David Miliband leads the donations race.",BBC News
"The Lord Chief Justice has said he is astonished that six disputed general election ballot papers have not been set aside for the courts to scrutinise. Sinn Fein's Michelle Gildernew retained Fermanagh-South Tyrone by a majority of four votes, following three recounts. Defeated unionist unity candidate Rodney Connor claims to have two witnesses who saw six votes counted which should have been rejected. Sir Declan Morgan said he thought the disputed papers should have been found.Mr Connor is claiming there were breaches of the statutory rules and is seeking a scrutiny of the votes, a recount and a determination that Ms Gildernew was not duly elected.The victorious Sinn Fein candidate insists, however, that she was properly returned by the people of Fermanagh and South Tyrone as their MP.A total of 46,803 were cast, with a turnout of 68.9%. A barrister for the count's returning officer told the review hearing at the High Court in Belfast: ""For the first time there is a factual situation described in which it is alleged certain votes, wholly unidentifiable, ought to have been rejected."" Paul Maguire QC argued these were not going to be put before the court for any examination. Mr Connor's lawyer said there was a ""practical difficulty"" in the six votes being among 47,000 admitted in the count. Patrick Good said one witness, James Cooper, saw four votes which should have been rejected, while Mr Connor's election agent wife Liz had identified a further two similar votes. Lord Chief Justice Sir Declan Morgan, sitting with Mr Justice Gillen, said: ""The court sees enormous difficulty if these votes are not identified."" He said that, if Mr Connor is right, the six disputed votes ""make all the difference"". ""Your evidence is likely to be that you have two witnesses who claim votes should have been rejected,"" he told the court. ""The deputy returning officer who examined them decided they shouldn't be rejected but should be admitted. ""The court is not going to be able to see the votes. ""I have to confess, for my own part, I'm astonished, even if it did require consideration of 47,000 votes, that some process wasn't put in place over the summer."" Sir Declan confirmed the three-day hearing was ready to proceed on Monday, and warned it would not be stopped for any discovery issues. ",Rodney Connor appeal: judge 'astounded votes not found',Northern Ireland,The Lord Chief Justice says he is astonished that six disputed Fermanagh-South Tyrone ballot papers were not set aside for the courts to scrutinise.,BBC News
"Sports Minister Nelson McCausland has expressed his disappointment at the situation at the IFA.Last weekend, four members of its executive, including president Raymond Kennedy and vice-president David Martin resigned with immediate effect.Mr Kennedy will now remain on the IFA's executive board so it has a working quorum, but will offer his resignation at a council meeting in September.Mr McCausland described the events as ""sad"".""Over the course of the week I have been stopped by people in the street that I have been talking to and they have just shaken their heads, people are lost for words,"" he said.""If it wasn't so ridiculous, it would at times be funny, but it is not.""It is a sad situation.""Mr McCausland had already made it clear that substantial government funding for football would be put at risk if Mr Kennedy and Mr Martin remained in their jobs at the IFA.He said on Thursday that he was pleased the IFA had assured him that an independent review of its governance arrangement would take place, but was disappointed this was not already under way.He said he felt this could be completed within a ""matter of months"".""This is a structural issue it is not simply about two individuals, that's the symptom of a deeper problem,"" he added.""The best thing is to have an independent review carried out in a way that will ensure that I as the minister, sports people, football fans, teams, everyone has assurance and confidence in the organisation and we have governance that is fit for purpose.""The question is not if the IFA gets its house in order, the question is when the IFA gets its house in order.""The IFA confirmed earlier this week that it had received the resignations of Mr Kennedy, Mr Martin, honorary treasurer Neil Jardine and board member Jim Shaw. The IFA council will meet on 6 September to determine the process to be followed for the election of office bearers at the September council meeting. The IFA statement on Tuesday confirming Mr Kennedy would remain on the IFA board until next month was released after two days of frantic meetings involving the main players in the ongoing internal wranglings. The organisation has been in turmoil since Mr Kennedy was criticised in an independent report into the sacking of former chief executive Howard Wells. The upheaval comes at a time when government funding for the redevelopment of Windsor Park stadium is at risk. Mr McCausland said on Thursday that he was ""absolutely confident"" funding would be made available for the upgrading of sports stadia in Northern Ireland.""We are now entering the next comprehensive spending review, that money is down there in the comprehensive spending review, I believe the executive will approve that,"" he said.""There is widespread support right across the parties for good stadia for football, for rugby and for gaelic.""When we get that money through the comprehensive spending review, we will know exactly what the level of funding will be for a replacement stadium and then football can look foward at international level to a much brighter future.""The resignations of the quartet from the IFA executive board left the executive committee with just five remaining members - one short of the minimum number required for decisions to be taken. Representatives of Premiership clubs met on Monday and it was indicated that there was ""unanimous agreement"" that Mr Kennedy and Mr Martin should quit their positions ""as soon as possible"". ",McCausland shows dismay at IFA,Northern Ireland,Sports Minister Nelson McCausland has expressed his disappointment at the situation at the Irish Football Association.,BBC News
"Police are stepping up patrols at a Manchester park this weekend after a woman was raped there on Friday.The 44-year-old had been standing at the gates of Birchfields Park at about 0600 BST when she was pushed over and dragged along the ground.She was then raped before she managed to call police from a telephone box on Birchfields Road.Greater Manchester Police said its officers would be in the area over the weekend to reassure local residents.Detectives are examining CCTV from the area in a bid to identify the attacker. Det Insp Terry Crompton, of Longsight CID, said: ""Clearly an incident like this can cause people in the area to feel concerned. ""I'd like to stress that police officers will be in an around the park over the weekend. ""If anyone has any worries about what has happened, they can speak to those officers. ""If you do see anyone acting suspiciously, contact police as soon as possible.""",Police patrols increased after Manchester park rape,Manchester,Police step up patrols in a Manchester park after a woman was raped there on Friday.,BBC News
"An inquiry has begun into the death of the son-in-law of former footballer and TV presenter Bob Wilson.Mitchell Carey, 43, from Knebworth, Hertfordshire, died in the Lister Hospital in Stevenage on 18 August.He was the widower of Mr Wilson's daughter, Anna, who died of cancer in 1998 at the age of 31.Mr Carey fell ill on 16 August and was taken to hospital, but was discharged into his GP's care, and admitted again after his condition deteriorated.'Condition worsened'A spokeswoman for the East and North Hertfordshire NHS Trust said: ""Our deepest sympathies are with Mr Carey's family.""While an investigation is under way it does appear that Mr Carey was given the appropriate course of treatment at our A&amp;E department.""Sadly his condition worsened dramatically and on his admission, staff at the Lister hospital did everything they could to save his life.""Bob Wilson and his wife Megs set up the Willow Foundation in their daughter's memory in 1999 to help seriously ill young adults.Wilson was a goalkeeper for Arsenal between 1963 and 1974. He went on to present Football Focus for the BBC and later fronted ITV's football coverage before his retirement.",Bob Wilson's son-in-law dies in Hertfordshire hospital,"Beds, Herts & Bucks",A hospital begins an investigation into the death of the son-in-law of ex-Arsenal goalkeeper Bob Wilson.,BBC News
"A fatal accident inquiry is to be held into the crash which killed Dumbarton FC captain Gordon Lennon.Lennon died in an off-road accident in the Highlands in June 2009 after a 4x4 he was in hit an electricity pole. The crash happened at Brahan near Maryburgh. Lennon, originally from Larne, County Antrim, was taken to Raigmore Hospital in Inverness but died from his injuries.The inquiry will be held at Dingwall Sheriff Court on 20 September.It will try to establish the exact circumstances surrounding Lennon's death.The 26-year-old had led his side to promotion to Division Two. He lived in Paisley and had a baby son with his 25-year-old girlfriend.The accident on 7 June 2009 involved a vehicle from the local four-wheel drive club.The vehicle hit an electricity pole in the Canal Wood on Brahan Estate, bringing the wires down.",Probe into Dumbarton player Gordon Lennon's crash death,Glasgow & West Scotland,A fatal accident inquiry is to be held into the off-road crash which killed Dumbarton Football Club captain Gordon Lennon.,BBC News
"The UK's Royal Bank of Scotland has agreed to pay $500m (£336m) to end a money laundering case involving ABN Amro - the lender it bought in 2007.The bank will pay the money to the US government. In exchange, charges against ABN Amro will be dropped.According to the US justice department, the bank helped governments and individuals under US sanctions bring money into the country.RBS bought the Netherlands-based ABN just before the banking crisis erupted.The acquisition proved to be disastrous for RBS, with ABN's exposure to mortgage-backed securities resulting in heavy losses. A partial de-merger of the banks has since taken place.US officials said ABN had helped banks and individuals from countries including Iran and Libya channel money through the US banking system over a 10-year period. The charges will be formally dropped in 12 months, assuming the bank continues to cooperate.",ABN Amro laundering case settled with $500m US payment,Business,"The UK's Royal Bank of Scotland will pay $500m (£336m) to end a money laundering case involving ABN Amro, which it bought in 2007.",BBC News
"The crisis in the euro area highlights two problems with a currency shared by states with their own taxing and spending powers. What happens if some of individual states fail to control their own finances? And what about a situation where their competitiveness diverges?The same questions arise, or could arise, with another large currency area, the United States. It has more individual units - 50 compared with the euro area's 16. That might make it even more unmanageable. But unlike in Europe, there is no talk of the currency union breaking apart. Why not? For one thing there is more discipline on the finances of the states. Nearly all have a legal or constitutional obligation to at least attempt to balance part of their budgets - though many can borrow for investment.  They do struggle sometimes, as California is now. It is certainly a political issue. But the shortfall is modest compared to the crisis facing some European states. The gap, which Governor Arnold Schwarzenegger is trying to close, is $18bn (£12.4bn) for two years, about 0.5% of state income, its GDP. Then there is borrowing for investment which is also this year less than 1% of California's GDP.  For Greece, the total last year was 13.6%. So the US has a system of fiscal discipline - at state level that seems to be more effective than Europe's Stability and Growth Pact which tries, and has failed, to limit deficits to 3% of GDP. The US has another major advantage. The Federal budget has an important role in softening the impact of shocks that hit one state more than another. If one state is especially hit by economic events, its people pay less in federal taxes, and federal spending can be increased. Some of this happens automatically, especially on the tax side. And it can be augmented by deliberate policy decisions by the Federal government.  In Europe, the EU budget is too small for that effect to help very much. It is less than 1.5% of GDP. Public spending is dominated by the member states. In the US, Federal spending is about 15 times larger. Some European countries also have a problem with competitiveness. For a country with its own currency there is the option of allowing it to depreciate. But when you lose competitiveness against countries with the same currency it's no solution. That has happened in the Euro area. One measure of competitiveness is unit labour costs, which reflects changes in both workers pay and how much they produce.Between 2001 and 2008, according to OECD data, unit labour costs increased by more than 20% in Greece, Spain, Italy and Ireland. In Germany they fell slightly and the average for the Euro as a whole was a more moderate increase of 12%. In the absence of a depreciation option, the only way of restoring competitiveness is lower pay and other costs. It can happen but it is hard to achieve and can easily lead to the kind of strife now hitting Greece.Of course the US does have internal differences in competitiveness, but workers are more ready to move - the single language helps of course - and pay cuts aren't quite so hard for employers to impose. Differences do persist, but there are features of the country's labour market that act as a kind of shock absorber.  What the Euro crisis has underlined is the difficulty of a single currency in the absence of a closer political union and more flexible labour markets. It may be possible to fix those problems. But it will take years. ",What Europe can learn from the US,Business,"The crisis in the euro area has highlighted real problems with monetary union in which individual economies are very different. Another large currency area, the US, has had fewer problems. What can Europe learn from them?",BBC News
"A Warwickshire exhibition includes an image of Yoko Ono and John Lennon which has not been seen in public before, a photographer says. The image, showing Lennon cuddling his new wife at a Top of the Pops rehearsal in 1970, was unveiled at Gallery 150 in Leamington Spa. It is part an exhibition by Bill Zygmant, who was a Fleet Street photographer in the 1960s, 70s and 80s. The exhibition will run until 10 September. Mr Zygmant, who is famous for taking images of The Beatles, said it was evident from photographing the couple that they had been devoted to each other. ""I was the only photographer at the Top of the Pops studios and I was very lucky to get the shot,"" he said. ""It was all quite rushed and I did not realise at the time how special it would be."" The photo was taken on 11 February, 1970, when Lennon was recording Instant Karma! (We all shine on) for transmission the next day. Mr Zygmant, of Rugby, said other pictures from the photography session had been published, but this one was among many exclusive photos he had found in his bag of negatives. He first took Lennon's picture in 1964 when he joked with the singer that he was earning more than him, with an income of £100 a week. Other unseen pictures at the Leamington show include a photo of Captain Sensible after he had released Happy Talk and a picture of Status Quo with all their roadies. ",Unseen John Lennon picture shown at Leamington gallery,Coventry & Warwickshire,A photo of John Lennon and Yoko Ono cuddling is among pictures at a Warwickshire gallery which have not been seen publicly before.,BBC News
"Thousands of Greeks have protested in the centre of the capital, Athens, as part of a general strike against government austerity measures. Demonstrators converged on the parliament building before dispersing.The 24-hour strike has seen schools closed and ferry and train services across the country halted.It was called in response to government moves to cut public sector wages and increase taxes.The Labour Ministry was occupied by communist protesters and rally organisers had hoped up to 100,000 people would join protests on the street. There were fears of renewed violence after protests in the city two weeks ago led to the deaths of three people when a bank was fire-bombed.But the crowds marching through Athens were smaller than those which took part in that general strike, reports the BBC's Malcolm Brabant from the Greek capital.Lines of riot police stood guard at vulnerable points near the Tomb of the Unknown Soldier to deter protesters from trying to storm the parliament building. Many Greeks are angered by the spending cuts and tax and pension-age rises planned in return for a 110bn-euro (£95bn) bail-out from the EU and IMF. The measures aim to achieve billions of euros in budget cuts over three years, with the goal of cutting Greece's public deficit to less than 3% of GDP by 2014. It currently stands at 13.6%. The strike officially began at midnight on Wednesday local time.Train services, shipping and domestic flights were severely disrupted.The strike was also expected to force the closure of government buildings, schools and banks, and to reduce hospitals to emergency staff later in the day.The country's main civil service and public sector unions say they represent some 2.5 million workers. ""People are bleeding financially but they will participate in the strike,"" Ilias Vrettakos, a senior member of the ADEDY union, was quoted as saying by Reuters.However, Greek air traffic controllers are not taking part in the industrial action. They have decided to continue working because travellers have faced too much disruption recently from the Icelandic volcano and also because of concerns about the impact of the strike on tourism, says our correspondent.He adds that journalists have also decided to postpone their industrial action, because one of the most essential components of this rolling campaign is publicity. The strike on 5 May in Athens generated some of the worst violence in decades.The death of three bank workers, who suffocated when their office was fire-bombed, has forced many people to question the way protests have been mounted, our correspondent says.He adds that the demonstrations during this latest strike will be a barometer of the mood of the nation.",Greece brought to standstill by anti-austerity strike,Europe,Thousands of Greeks protest in the centre of Athens as part of a general strike against government austerity measures.,BBC News
"Two councils have joined forces to buy a £150,000 machine in their battle to keep on top of pot hole repairs.Conwy and Denbighshire councils will also share the running costs of the ""Jetpatcher"".The hope is the machine will also prevent pot holes, as it will patch up roads when the first cracks appear.The machine takes a fraction of the time to repair roads, with trials suggesting the repairs last a number of years, said a spokesperson.Last winter's weather left both councils with a backlog of damaged roads.""Sharing equipment and processes ensures that we work more efficiently and provide a more cost-effective service to the residents of Conwy and Denbighshire,"" said Stuart Davies, the joint head of highways and infrastructure for both councils.Denbighshire council said improving the highways network was one of its top four priorities.Conwy's cabinet member on infrastructure, Councillor Joan Vaughan, said sharing equipment ""is one of the very tangible benefits of collaborative working"".""Both counties will clearly benefit... it will have a real impact on our maintenance work,"" she added.",Conwy and Denbighshire councils team up over pot holes,North West Wales,"Conwy and Denbighshire councils club together to buy a £150,000 machine to speed up the fixing of pot holes on the counties' roads.",BBC News
